Human_Gene	Uniprot_GO_SUM
GGTA1P	Golgi
GGTLC1	PM
GGTLC2	PM
GGTLC3	PM
GHITM	Mitochondrion
GHRHR	PM
GHSR	PM
GID8	Nucleus
GIMAP4	cytosol
GIMAP6	cytosol
GIMAP7	cytosol
GINS1	Nucleus
GINS2	Nucleus
GINS3	Nucleus
GIPC2	cytosol
GIPR	PM
GJA10	PM
GJA8	PM
GJB1	ER
GJD2	PM
GJD3	PM
GK2	Mitochondrion
GK3P	Mitochondrion
GK5	cytosol
GKAP1	Golgi
GLA	lysosome
GLCCI1	cytosol
GLCE	Golgi
GLDC	Mitochondrion
GLG1	Golgi
GLI4	Nucleus
GLIPR2	Golgi
GLIS1	Nucleus
GLIS3	Nucleus
GLO1	cytosol
GLOD4	Mitochondrion
GLP1R	PM
GLP2R	PM
GLRX	cytosol
GLRX5	Mitochondrion
GLS2	Mitochondrion
GLT8D1	Golgi
GLT8D2	Golgi
GLTP	cytosol
GLTPD2	cytosol
GLTSCR2	Nucleus
GLUD1	Mitochondrion
GLUD2	Mitochondrion
GLYAT	Mitochondrion
GLYATL1	Mitochondrion
GLYATL2	ER
GLYATL3	Mitochondrion
GLYCAM1	PM
GLYR1	Nucleus
GM2A	lysosome
GMCL1	Nucleus
GMCL1P1	Nucleus
GMDS	cytosol
GMIP	cytosol
GML	PM
GMNC	Nucleus
GMPPA	cytosol
GMPPB	cytosol
GMPR	cytosol
GMPR2	cytosol
GMPS	cytosol
GNA14	PM
GNAL	PM
GNAO1	PM
GNAT3	CS
GNE	cytosol
GNG10	PM
GNG11	PM
GNG2	PM
GNG4	PM
GNG5	PM
GNG7	PM
GNG8	PM
GNGT2	PM
GNL2	Nucleus
GNL3	Nucleus
GNL3L	Nucleus
GNMT	cytosol
GNN	cytosol
GNPDA1	cytosol
GNPDA2	cytosol
GNPNAT1	Golgi
GNPTAB	Golgi
GNPTG	Golgi
GNRHR	PM
GNRHR2	PM
GNS	lysosome
GOLGA1	Golgi
GOLGA2P5	Golgi
GOLGA5	Golgi
GOLGA6A	Golgi
GOLGA6B	Golgi
GOLGA6C	Golgi
GOLGA6D	Golgi
GOLGA6L10	Golgi
GOLGA6L19	Golgi
GOLGA6L2	Golgi
GOLGA6L3	Golgi
GOLGA6L4	Golgi
GOLGA6L9	Golgi
GOLGA7	Golgi
GOLGA7B	Golgi
GOLGA8A	Golgi
GOLGA8B	Golgi
GOLGA8CP	Golgi
GOLGA8DP	Golgi
GOLGA8F	Golgi
GOLGA8H	Golgi
GOLGA8I	Golgi
GOLGA8J	Golgi
GOLGA8K	Golgi
GOLGA8M	Golgi
GOLGA8N	Golgi
GOLGA8O	Golgi
GOLGA8R	Golgi
GOLGB1	Golgi
GOLPH3L	Golgi
GOLT1A	Golgi
GOLT1B	Golgi
GON4L	Nucleus
GORASP2	Golgi
GOSR1	Golgi
GOSR2	Golgi
GOT1	cytosol
GOT1L1	cytosol
GP1BB	PM
GP2	PM
GP5	PM
GP6	PM
GP9	PM
GPAA1	ER
GPAM	Mitochondrion
GPAT2	Mitochondrion
GPATCH2	Nucleus
GPBAR1	PM
GPBP1L1	Nucleus
GPCPD1	cytosol
GPD1	cytosol
GPD2	Mitochondrion
GPIHBP1	PM
GPKOW	Nucleus
GPM6B	PM
GPNMB	PM
GPR1	PM
GPR101	PM
GPR107	Golgi
GPR116	PM
GPR119	PM
GPR12	PM
GPR124	PM
GPR125	PM
GPR126	PM
GPR132	PM
GPR133	PM
GPR135	PM
GPR137B	lysosome
GPR139	PM
GPR141	PM
GPR142	PM
GPR146	PM
GPR148	PM
GPR149	PM
GPR15	PM
GPR150	PM
GPR151	PM
GPR152	PM
GPR153	PM
GPR156	PM
GPR157	PM
GPR158	PM
GPR160	PM
GPR162	PM
GPR17	PM
GPR171	PM
GPR173	PM
GPR174	PM
GPR176	PM
GPR179	PM
GPR18	PM
GPR182	PM
GPR183	PM
GPR19	PM
GPR20	PM
GPR21	PM
GPR22	PM
GPR25	PM
GPR26	PM
GPR27	PM
GPR3	PM
GPR31	PM
GPR32	PM
GPR32P1	PM
GPR33	PM
GPR34	PM
GPR35	PM
GPR37L1	PM
GPR39	PM
GPR4	PM
GPR42	PM
GPR45	PM
GPR50	PM
GPR52	PM
GPR55	PM
GPR6	PM
GPR61	PM
GPR62	PM
GPR63	PM
GPR64	PM
GPR65	PM
GPR68	PM
GPR75	PM
GPR78	PM
GPR82	PM
GPR83	PM
GPR84	PM
GPR87	PM
GPR88	PM
GPR89A	Golgi
GPR89B	Golgi
GPR97	PM
GPR98	PM
GPRASP1	cytosol
GPRASP2	cytosol
GPRC5D	PM
GPRC6A	PM
GPS2	Nucleus
GPSM3	cytosol
GPT	cytosol
GPT2	Mitochondrion
GPX1	cytosol
GPX2	cytosol
GPX7	ER
GPX8	ER
GRAMD3	CS
GRAMD4	Mitochondrion
GRAP	cytosol
GRHL1	Nucleus
GRHL3	Nucleus
GRIPAP1	endosome
GRM1	PM
GRM3	PM
GRM4	PM
GRM5	PM
GRM7	PM
GRM8	PM
GRPEL1	Mitochondrion
GRPEL2	Mitochondrion
GRPR	PM
GRWD1	Nucleus
GRXCR1	CS
GRXCR2	CS
GSAP	Golgi
GSC	Nucleus
GSC2	Nucleus
GSDMB	cytosol
GSDMC	cytosol
GSDMD	Nucleus
GSG1	ER
GSKIP	cytosol
GSPT1	cytosol
GSPT2	cytosol
GSS	cytosol
GSTA1	cytosol
GSTA2	cytosol
GSTA3	cytosol
GSTA4	cytosol
GSTA5	cytosol
GSTCD	cytosol
GSTK1	Peroxisome
GSTM1	cytosol
GSTM2	cytosol
GSTM3	cytosol
GSTM4	cytosol
GSTM5	cytosol
GSTO1	cytosol
GSTO2	cytosol
GSTT1	cytosol
GSTT2	cytosol
GSTT2B	cytosol
GSTZ1	cytosol
GSX1	Nucleus
GSX2	Nucleus
GTF2A1	Nucleus
GTF2A1L	cytosol
GTF2A2	Nucleus
GTF2B	Nucleus
GTF2E1	Nucleus
GTF2E2	Nucleus
GTF2F1	Nucleus
GTF2F2	Nucleus
GTF2H1	Nucleus
GTF2H2	Nucleus
GTF2H2C	Nucleus
GTF2H3	Nucleus
GTF2H4	Nucleus
GTF2H5	Nucleus
GTF2IRD1	Nucleus
GTF2IRD2	Nucleus
GTF2IRD2B	Nucleus
GTF3A	Nucleus
GTF3C1	Nucleus
GTF3C2	Nucleus
GTF3C3	Nucleus
GTF3C4	Nucleus
GTF3C5	Nucleus
GTF3C6	Nucleus
GTPBP1	cytosol
GTPBP3	Mitochondrion
GTPBP4	Nucleus
GTPBP6	cytosol
GTPBP8	Mitochondrion
GTSE1	CS
GTSF1	cytosol
GUCA1B	PM
GUCY1A2	cytosol
GUCY1A3	cytosol
GUCY1B2	cytosol
GUCY1B3	cytosol
GUF1	Mitochondrion
GUK1	cytosol
GULP1	cytosol
GUSB	lysosome
GXYLT1	Golgi
GYLTL1B	Golgi
GYPA	PM
GYPB	PM
GYPC	PM
GYPE	PM
GYS2	CS
H1FNT	Nucleus
H1FX	Nucleus
H2AFB1	Nucleus
H2AFB2	Nucleus
H2AFJ	Nucleus
H2AFV	Nucleus
H2AFX	Nucleus
H2AFY	Nucleus
H2AFY2	Nucleus
H2AFZ	Nucleus
H2BFM	Nucleus
H2BFS	Nucleus
H2BFWT	Nucleus
H3F3A	Nucleus
H3F3C	Nucleus
H6PD	ER
HAAO	cytosol
HACL1	Peroxisome
HADH	Mitochondrion
HADHA	Mitochondrion
HAL	cytosol
HAND1	Nucleus
HAND2	Nucleus
HAO1	Peroxisome
HAO2	Peroxisome
HARS	cytosol
HARS2	Mitochondrion
HBD	cytosol
HBE1	cytosol
HBG1	cytosol
HBG2	cytosol
HBP1	Nucleus
HCAR1	PM
HCAR2	PM
HCAR3	PM
HCCS	Mitochondrion
HCN1	PM
HCN2	PM
HCN3	PM
HCN4	PM
HCRTR1	PM
HCRTR2	PM
HCST	PM
HDAC1	Nucleus
HDAC11	Nucleus
HDAC9	Nucleus
HDC	cytosol
HDDC2	Mitochondrion
HDGFRP2	Nucleus
HDGFRP3	Nucleus
HDHD1	cytosol
HDHD3	Mitochondrion
HDX	Nucleus
HEATR1	Nucleus
HEBP1	cytosol
HECW1	cytosol
HECW2	cytosol
HELLS	Nucleus
HELQ	Nucleus
HELT	Nucleus
HELZ	Nucleus
HELZ2	Nucleus
HEMGN	Nucleus
HEMK1	Mitochondrion
HEPN1	cytosol
HERC4	CS
HERC6	cytosol
HERPUD1	ER
HERVK_113	PM
HES1	Nucleus
HES2	Nucleus
HES3	Nucleus
HES4	Nucleus
HES5	Nucleus
HES6	Nucleus
HES7	Nucleus
HESX1	Nucleus
HEXA	lysosome
HEXB	lysosome
HEXIM2	Nucleus
HEY1	Nucleus
HEY2	Nucleus
HEYL	Nucleus
HFE	PM
HFE2	PM
HGD	cytosol
HGSNAT	lysosome
HHAT	ER
HHATL	ER
HHEX	Nucleus
HIBADH	Mitochondrion
HIBCH	Mitochondrion
HIC1	Nucleus
HIC2	Nucleus
HIGD1A	Mitochondrion
HIGD2A	Mitochondrion
HILS1	Nucleus
HINFP	Nucleus
HINT2	Mitochondrion
HIPK4	cytosol
HIRIP3	Nucleus
HIST1H1A	Nucleus
HIST1H1B	Nucleus
HIST1H1C	Nucleus
HIST1H1D	Nucleus
HIST1H1E	Nucleus
HIST1H1T	Nucleus
HIST1H2AA	Nucleus
HIST1H2AB	Nucleus
HIST1H2AC	Nucleus
HIST1H2AD	Nucleus
HIST1H2AG	Nucleus
HIST1H2AH	Nucleus
HIST1H2AJ	Nucleus
HIST1H2BA	Nucleus
HIST1H2BB	Nucleus
HIST1H2BC	Nucleus
HIST1H2BD	Nucleus
HIST1H2BH	Nucleus
HIST1H2BJ	Nucleus
HIST1H2BK	Nucleus
HIST1H2BL	Nucleus
HIST1H2BM	Nucleus
HIST1H2BN	Nucleus
HIST1H2BO	Nucleus
HIST1H3A	Nucleus
HIST1H4A	Nucleus
HIST1H4G	Nucleus
HIST2H2AA3	Nucleus
HIST2H2AB	Nucleus
HIST2H2AC	Nucleus
HIST2H2BC	Nucleus
HIST2H2BD	Nucleus
HIST2H2BE	Nucleus
HIST2H2BF	Nucleus
HIST2H3A	Nucleus
HIST3H2A	Nucleus
HIST3H2BB	Nucleus
HIST3H3	Nucleus
HIVEP2	Nucleus
HK1	Mitochondrion
HK2	Mitochondrion
HKDC1	cytosol
HKR1	Nucleus
HLA-DMB	lysosome
HLA-DOA	endosome
HLA-DOB	endosome
HLA-H	PM
HLF	Nucleus
HLX	Nucleus
HMBS	cytosol
HMG20A	Nucleus
HMG20B	Nucleus
HMGA1	Nucleus
HMGA2	Nucleus
HMGB1P1	Nucleus
HMGB4	Nucleus
HMGCR	ER
HMGCS1	cytosol
HMGCS2	Mitochondrion
HMGN3	Nucleus
HMGN4	Nucleus
HMGN5	Nucleus
HMGXB3	Nucleus
HMGXB4	Nucleus
HMOX2	ER
HMX1	Nucleus
HMX2	Nucleus
HMX3	Nucleus
HN1	Nucleus
HNF1A	Nucleus
HNF1B	Nucleus
HNF4A	Nucleus
HNF4G	Nucleus
HNMT	cytosol
HNRNPA0	Nucleus
HNRNPA3	Nucleus
HNRNPC	Nucleus
HNRNPCL1	Nucleus
HNRNPF	Nucleus
HNRNPH1	Nucleus
HNRNPH2	Nucleus
HNRNPH3	Nucleus
HNRNPLL	Nucleus
HNRNPM	Nucleus
HNRNPUL1	Nucleus
HNRNPUL2	Nucleus
HOGA1	Mitochondrion
HOMEZ	Nucleus
HOOK1	CS
HOOK2	CS
HOXA1	Nucleus
HOXA10	Nucleus
HOXA11	Nucleus
HOXA13	Nucleus
HOXA2	Nucleus
HOXA3	Nucleus
HOXA4	Nucleus
HOXA5	Nucleus
HOXA6	Nucleus
HOXA7	Nucleus
HOXA9	Nucleus
HOXB1	Nucleus
HOXB13	Nucleus
HOXB2	Nucleus
HOXB3	Nucleus
HOXB4	Nucleus
HOXB5	Nucleus
HOXB6	Nucleus
HOXB7	Nucleus
HOXB8	Nucleus
HOXB9	Nucleus
HOXC10	Nucleus
HOXC11	Nucleus
HOXC12	Nucleus
HOXC13	Nucleus
HOXC4	Nucleus
HOXC5	Nucleus
HOXC6	Nucleus
HOXC8	Nucleus
HOXC9	Nucleus
HOXD1	Nucleus
HOXD10	Nucleus
HOXD11	Nucleus
HOXD12	Nucleus
HOXD13	Nucleus
HOXD3	Nucleus
HOXD4	Nucleus
HOXD8	Nucleus
HOXD9	Nucleus
HP1BP3	Nucleus
HPD	cytosol
HPGD	cytosol
HPGDS	cytosol
HPN	PM
HPRT1	cytosol
HPS3	cytosol
HPS5	cytosol
HR	Nucleus
HRH1	PM
HRH2	PM
HRH3	PM
HRH4	PM
HRK	Mitochondrion
HS2ST1	Golgi
HS3ST1	Golgi
HS3ST2	Golgi
HS3ST3A1	Golgi
HS3ST3B1	Golgi
HS3ST4	Golgi
HS3ST5	Golgi
HS3ST6	Golgi
HSBP1	Nucleus
HSD11B1	ER
HSD11B2	ER
HSD17B1	cytosol
HSD17B10	Mitochondrion
HSD17B12	ER
HSD17B14	cytosol
HSD17B2	ER
HSD17B3	ER
HSD17B4	Peroxisome
HSD17B7	PM
HSD17B8	Mitochondrion
HSD3B7	ER
HSDL1	Mitochondrion
HSDL2	Peroxisome
HSF2BP	cytosol
HSF4	Nucleus
HSF5	Nucleus
HSMCR30	Nucleus
HSP90AA2	cytosol
HSP90AA4P	cytosol
HSP90AA5P	cytosol
HSP90AB2P	cytosol
HSP90AB3P	cytosol
HSP90AB4P	cytosol
HSPA13	ER
HSPA14	cytosol
HSPA1A	cytosol
HSPA4	cytosol
HSPA6	cytosol
HSPB11	CS
HSPBAP1	cytosol
HSPD1	Mitochondrion
HSPE1	Mitochondrion
HSPH1	cytosol
HTATSF1	Nucleus
HTR1A	PM
HTR1B	PM
HTR1D	PM
HTR1E	PM
HTR1F	PM
HTR2C	PM
HTR3C	PM
HTR3D	PM
HTR3E	PM
HTR4	PM
HTR5A	PM
HTR6	PM
HTR7	PM
HUNK	cytosol
HUS1B	Nucleus
HVCN1	PM
HYAL2	PM
HYDIN	CS
HYKK	cytosol
HYLS1	cytosol
HYOU1	ER
HYPM	Nucleus
IARS	cytosol
IARS2	Mitochondrion
IBA57	Mitochondrion
ICAM2	PM
ICAM3	PM
ICAM5	PM
ICMT	ER
ICOSLG	PM
ICT1	Mitochondrion
ID3	Nucleus
ID4	Nucleus
IDH2	Mitochondrion
IDH3A	Mitochondrion
IDH3B	Mitochondrion
IDH3G	Mitochondrion
IDI1	Peroxisome
IDI2	Peroxisome
IDO1	cytosol
IDO2	cytosol
IDS	lysosome
IDUA	lysosome
IER3IP1	ER
IFFO1	CS
IFFO2	CS
IFI27	Mitochondrion
IFI35	Nucleus
IFI44	cytosol
IFI44L	cytosol
IFIT1	cytosol
IFITM1	PM
IFITM10	PM
IFITM2	PM
IFITM5	PM
IFNGR1	PM
IFRD2	Nucleus
IFT122	CS
IFT140	CS
IFT172	CS
IFT22	CS
IFT27	CS
IFT43	CS
IFT46	CS
IFT52	CS
IFT57	CS
IFT80	CS
IFT81	CS
IFT88	CS
IGBP1	cytosol
IGDCC3	PM
IGDCC4	PM
IGF1R	PM
IGFBP6	Golgi
IGFLR1	PM
IGFN1	Nucleus
IGHD	PM
IGHV1OR21-1	PM
IGHV4OR15-8	PM
IGLL1	PM
IGLL5	PM
IGSF11	PM
IGSF6	PM
IGSF8	PM
IGSF9B	PM
IK	Nucleus
IKBIP	ER
IKZF2	Nucleus
IKZF4	Nucleus
IKZF5	Nucleus
IL10RA	PM
IL10RB	PM
IL11RA	PM
IL12RB1	PM
IL12RB2	PM
IL13RA1	PM
IL17RC	PM
IL17REL	PM
IL18R1	PM
IL1RL2	PM
IL20RA	PM
IL20RB	PM
IL22RA1	PM
IL23R	PM
IL26	cytosol
IL27RA	PM
IL2RA	PM
IL2RB	PM
IL2RG	PM
IL31RA	PM
IL3RA	PM
IL4I1	lysosome
ILDR2	ER
ILKAP	cytosol
IMMP1L	Mitochondrion
IMMP2L	Mitochondrion
IMMT	Mitochondrion
IMP3	Nucleus
IMP4	Nucleus
IMPA1	cytosol
IMPA2	cytosol
IMPACT	cytosol
IMPAD1	Golgi
IMUP	Nucleus
INCA1	Nucleus
ING1	Nucleus
ING3	Nucleus
ING4	Nucleus
ING5	Nucleus
INIP	Nucleus
INMT	cytosol
INO80B	Nucleus
INO80C	Nucleus
INO80D	Nucleus
INO80E	Nucleus
INPP1	cytosol
INPP4A	cytosol
INPP4B	cytosol
INPP5A	PM
INPP5F	endosome
INPP5K	ER
INSC	CS
INSIG1	ER
INSIG2	ER
INSM1	Nucleus
INSR	PM
INSRR	PM
INTS1	Nucleus
INTS10	Nucleus
INTS12	Nucleus
INTS2	Nucleus
INTS3	Nucleus
INTS4	Nucleus
INTS5	Nucleus
INTS6	Nucleus
INTS8	Nucleus
INTS9	Nucleus
IP6K2	Nucleus
IP6K3	cytosol
IPMK	Nucleus
IPP	CS
IQCB1	CS
IQGAP1	PM
IQSEC2	cytosol
IQSEC3	cytosol
IRAK4	cytosol
IREB2	cytosol
IRF2	Nucleus
IRF2BP1	Nucleus
IRF2BPL	Nucleus
IRF4	Nucleus
IRF8	Nucleus
IRG1	Mitochondrion
IRS2	cytosol
IRX1	Nucleus
IRX2	Nucleus
IRX3	Nucleus
IRX4	Nucleus
IRX5	Nucleus
IRX6	Nucleus
ISCA1	Mitochondrion
ISCA2	Mitochondrion
ISG20L2	Nucleus
ISL1	Nucleus
ISL2	Nucleus
ISLR2	PM
ISOC1	Peroxisome
ISX	Nucleus
ISY1	Nucleus
ISYNA1	cytosol
ITGA10	PM
ITGA6	PM
ITGA8	PM
ITGA9	PM
ITGAD	PM
ITGAE	PM
ITGAX	PM
ITGB6	PM
ITGB7	PM
ITGB8	PM
ITPA	cytosol
ITPK1	cytosol
ITPKA	CS
ITPR1	ER
ITPR2	ER
ITPR3	ER
ITPRIP	PM
ITSN2	cytosol
IVD	Mitochondrion
IWS1	Nucleus
IYD	PM
IZUMO1	PM
IZUMO3	PM
JADE2	Nucleus
JAG2	PM
JAGN1	ER
JAKMIP2	Golgi
JAKMIP3	Golgi
JARID2	Nucleus
JAZF1	Nucleus
JDP2	Nucleus
JKAMP	ER
JMJD1C	Nucleus
JOSD2	cytosol
JRK	Nucleus
JRKL	Nucleus
JUN	Nucleus
JUNB	Nucleus
JUND	Nucleus
KALRN	CS
KANK4	cytosol
KANSL1	Nucleus
KANSL2	Nucleus
KANSL3	Nucleus
KAT2A	Nucleus
KAT2B	Nucleus
KAT6B	Nucleus
KAT7	Nucleus
KAT8	Nucleus
KATNAL1	CS
KATNAL2	CS
KATNBL1	Nucleus
KBTBD13	cytosol
KBTBD7	cytosol
KCNA10	PM
KCNA3	PM
KCNA4	PM
KCNA5	PM
KCNA6	PM
KCNA7	PM
KCNAB3	cytosol
KCNC1	PM
KCNC3	PM
KCNE1L	PM
KCNE4	PM
KCNF1	PM
KCNG2	PM
KCNG4	PM
KCNH2	PM
KCNH3	PM
KCNH4	PM
KCNH5	PM
KCNH6	PM
KCNH7	PM
KCNH8	PM
KCNIP2	PM
KCNJ1	PM
KCNJ10	PM
KCNJ12	PM
KCNJ13	PM
KCNJ15	PM
KCNJ16	PM
KCNJ18	PM
KCNJ3	PM
KCNJ5	PM
KCNJ9	PM
KCNK10	PM
KCNK12	PM
KCNK13	PM
KCNK15	PM
KCNK16	PM
KCNK17	PM
KCNK18	PM
KCNK3	PM
KCNK4	PM
KCNK5	PM
KCNK6	PM
KCNK7	PM
KCNK9	PM
KCNMA1	PM
KCNMB1	PM
KCNMB2	PM
KCNMB3	PM
KCNMB4	PM
KCNN4	PM
KCNQ4	PM
KCNQ5	PM
KCNRG	ER
KCNS1	PM
KCNS2	PM
KCNS3	PM
KCNT1	PM
KCNT2	PM
KCNU1	PM
KCNV1	PM
KCNV2	PM
KCTD1	Nucleus
KCTD10	Nucleus
KCTD11	cytosol
KCTD13	Nucleus
KCTD17	cytosol
KCTD20	CS
KDELC1	ER
KDELC2	ER
KDELR2	ER
KDELR3	ER
KDF1	CS
KDM1A	Nucleus
KDM1B	Nucleus
KDM2A	Nucleus
KDM2B	Nucleus
KDM3B	Nucleus
KDM4A	Nucleus
KDM4B	Nucleus
KDM4C	Nucleus
KDM4D	Nucleus
KDM4E	Nucleus
KDM5B	Nucleus
KDM5C	Nucleus
KDM5D	Nucleus
KDM6A	Nucleus
KDM6B	Nucleus
KDM7A	Nucleus
KDM8	Nucleus
KDSR	ER
KEL	PM
KHDRBS2	Nucleus
KHDRBS3	Nucleus
KIAA0141	Mitochondrion
KIAA0195	Nucleus
KIAA0319	PM
KIAA0391	Mitochondrion
KIAA0430	Peroxisome
KIAA0513	cytosol
KIAA0586	CS
KIAA0753	CS
KIAA0754	PM
KIAA0907	Nucleus
KIAA1033	endosome
KIAA1109	Nucleus
KIAA1161	Nucleus
KIAA1191	cytosol
KIAA1217	cytosol
KIAA1279	CS
KIAA1377	CS
KIAA1429	Nucleus
KIAA1462	CS
KIAA1598	CS
KIAA1731	CS
KIAA1731NL	CS
KIAA1751	CS
KIAA2018	Nucleus
KIF11	CS
KIF12	CS
KIF13B	CS
KIF17	CS
KIF19	CS
KIF1A	CS
KIF1C	CS
KIF21A	CS
KIF21B	CS
KIF24	CS
KIF25	CS
KIF26A	CS
KIF26B	CS
KIF27	CS
KIF28P	Mitochondrion
KIF3A	CS
KIF3B	CS
KIF3C	CS
KIF5B	CS
KIF5C	CS
KIF6	CS
KIF7	CS
KIF9	CS
KIFC2	CS
KIR2DL1	PM
KIR2DL2	PM
KIR2DL3	PM
KIR2DL4	PM
KIR2DL5A	PM
KIR2DL5B	PM
KIR2DS1	PM
KIR2DS2	PM
KIR2DS3	PM
KIR2DS4	PM
KIR2DS5	PM
KIR3DL1	PM
KIR3DL2	PM
KIR3DL3	PM
KIR3DS1	PM
KIRREL	PM
KIRREL2	PM
KISS1R	PM
KIZ	CS
KLB	PM
KLC2	CS
KLC3	CS
KLC4	CS
KLF1	Nucleus
KLF10	Nucleus
KLF11	Nucleus
KLF12	Nucleus
KLF13	Nucleus
KLF14	Nucleus
KLF15	Nucleus
KLF16	Nucleus
KLF17	Nucleus
KLF2	Nucleus
KLF3	Nucleus
KLF4	Nucleus
KLF5	Nucleus
KLF6	Nucleus
KLF7	Nucleus
KLF8	Nucleus
KLF9	Nucleus
KLHDC1	cytosol
KLHDC2	Nucleus
KLHDC8B	cytosol
KLHL1	CS
KLHL10	cytosol
KLHL2	CS
KLHL21	CS
KLHL24	CS
KLHL25	cytosol
KLHL3	CS
KLHL33	CS
KLHL4	CS
KLHL40	CS
KLHL5	CS
KLHL7	Nucleus
KLHL8	Nucleus
KLK1	Nucleus
KLK11	Golgi
KLLN	Nucleus
KLRB1	PM
KLRC1	PM
KLRC2	PM
KLRD1	PM
KLRF1	PM
KLRF2	PM
KLRG1	PM
KLRK1	PM
KMO	Mitochondrion
KMT2B	Nucleus
KMT2C	Nucleus
KMT2D	Nucleus
KNOP1	Nucleus
KPNA5	cytosol
KPNA7	Nucleus
KPRP	cytosol
KREMEN2	PM
KRI1	Nucleus
KRT1	PM
KRT12	CS
KRT17	cytosol
KRT20	cytosol
KRT222	CS
KRT23	CS
KRT24	CS
KRT25	cytosol
KRT26	CS
KRT27	cytosol
KRT28	cytosol
KRT3	CS
KRT31	CS
KRT32	CS
KRT33A	CS
KRT33B	CS
KRT34	CS
KRT35	CS
KRT36	CS
KRT37	CS
KRT38	CS
KRT39	CS
KRT40	CS
KRT6B	CS
KRT6C	CS
KRT7	cytosol
KRT71	CS
KRT72	CS
KRT74	CS
KRT75	CS
KRT77	CS
KRT78	CS
KRT79	CS
KRT80	CS
KRT81	CS
KRT82	CS
KRT83	CS
KRT84	CS
KRT85	CS
KRT86	CS
KRT87P	CS
KRTAP1-1	CS
KRTAP1-3	CS
KRTAP1-4	CS
KRTAP1-5	CS
KRTAP10-1	CS
KRTAP10-10	CS
KRTAP10-11	CS
KRTAP10-12	CS
KRTAP10-2	CS
KRTAP10-3	CS
KRTAP10-4	CS
KRTAP10-5	CS
KRTAP10-6	CS
KRTAP10-7	CS
KRTAP10-8	CS
KRTAP10-9	CS
KRTAP11-1	CS
KRTAP12-1	CS
KRTAP12-2	CS
KRTAP12-3	CS
KRTAP12-4	CS
KRTAP13-1	CS
KRTAP13-2	CS
KRTAP13-3	CS
KRTAP13-4	CS
KRTAP15-1	CS
KRTAP16-1	CS
KRTAP17-1	CS
KRTAP19-1	CS
KRTAP19-2	CS
KRTAP19-3	CS
KRTAP19-4	CS
KRTAP19-5	CS
KRTAP19-6	CS
KRTAP19-7	CS
KRTAP19-8	CS
KRTAP2-1	CS
KRTAP2-2	CS
KRTAP2-3	CS
KRTAP2-4	CS
KRTAP20-1	CS
KRTAP20-2	CS
KRTAP20-3	CS
KRTAP20-4	CS
KRTAP21-1	CS
KRTAP21-2	CS
KRTAP21-3	CS
KRTAP22-1	CS
KRTAP22-2	CS
KRTAP23-1	CS
KRTAP24-1	CS
KRTAP25-1	CS
KRTAP26-1	CS
KRTAP27-1	CS
KRTAP29-1	CS
KRTAP3-1	CS
KRTAP3-2	CS
KRTAP3-3	CS
KRTAP4-1	CS
KRTAP4-11	CS
KRTAP4-12	CS
KRTAP4-2	CS
KRTAP4-3	CS
KRTAP4-4	CS
KRTAP4-5	CS
KRTAP4-6	CS
KRTAP4-7	CS
KRTAP4-8	CS
KRTAP4-9	CS
KRTAP5-1	CS
KRTAP5-10	CS
KRTAP5-11	CS
KRTAP5-2	CS
KRTAP5-3	CS
KRTAP5-4	CS
KRTAP5-5	CS
KRTAP5-6	CS
KRTAP5-7	CS
KRTAP5-8	CS
KRTAP5-9	CS
KRTAP6-1	CS
KRTAP6-2	CS
KRTAP6-3	CS
KRTAP7-1	CS
KRTAP8-1	CS
KRTAP9-1	CS
KRTAP9-2	CS
KRTAP9-3	CS
KRTAP9-4	CS
KRTAP9-6	CS
KRTAP9-7	CS
KRTAP9-8	CS
KRTAP9-9	CS
KRTCAP2	ER
KY	CS
KYNU	cytosol
L2HGDH	Mitochondrion
L3MBTL2	Nucleus
L3MBTL3	Nucleus
L3MBTL4	Nucleus
LACE1	Mitochondrion
LACTB	Mitochondrion
LACTB2	Mitochondrion
LAG3	PM
LAGE3	Nucleus
LAIR1	PM
LALBA	Golgi
LAMTOR2	lysosome
LAMTOR4	lysosome
LAP3	cytosol
LAPTM4A	Golgi
LAPTM5	lysosome
LARGE	Golgi
LARP1	cytosol
LARP1B	Nucleus
LARP7	Nucleus
LARS	cytosol
LARS2	Mitochondrion
LASP1	CS
LAT	PM
LAT2	PM
LAX1	PM
LBR	Nucleus
LBX1	Nucleus
LBX2	Nucleus
LCA5	CS
LCLAT1	ER
LCMT1	cytosol
LCMT2	cytosol
LCOR	Nucleus
LCORL	Nucleus
LCP2	cytosol
LCT	PM
LCTL	ER
LDB1	Nucleus
LDB2	Nucleus
LDHA	cytosol
LDHAL6A	cytosol
LDHB	cytosol
LDHC	cytosol
LDHD	Mitochondrion
LDLRAD3	PM
LDLRAD4	endosome
LDLRAP1	cytosol
LDOC1	Nucleus
LEMD2	Nucleus
LEMD3	Nucleus
LEO1	Nucleus
LEPRE1	ER
LEPREL2	ER
LEPROT	Golgi
LETM1	Mitochondrion
LETM2	Mitochondrion
LETMD1	Mitochondrion
LEUTX	Nucleus
LFNG	Golgi
LGALS12	Nucleus
LGALS14	Nucleus
LGALS8	cytosol
LGMN	lysosome
LGR4	PM
LGR6	PM
LGSN	PM
LHB	Golgi
LHCGR	PM
LHX1	Nucleus
LHX2	Nucleus
LHX3	Nucleus
LHX4	Nucleus
